Nombre Exposiciones	Artista(s)	Artistas_std	Nacionalidad	Año de la exposición	mes	Fecha de inicio de la exposición	Fecha de inicio de la exposición según soporte	Fecha de finalización de la exposición según soporte	Duración de la exposición (en días)	Tipo de exposición	Tema	Técnica	Detalles de técnica	Curaduría	Presentación de la exposición	Auspiciador(es)	Autor del material promocional de la exposición	Texto(s) del material promocional de la exposición	Sala de Exposición	Signatura	Documento de soporte	Presidente	Director	Junta Directiva	Junta Asesora	Diseño	Impresión	Obras de la coleción	Códigos de las obras
Grau en Cali	Enrique Grau	Enrique Grau	Panameña-colombiana	1973	5	3-may.				Colectiva		Pintura,Dibujo		NA			Germán Rubiano Caballero			0010f									
Exposición de Noe Nojechowiz	Noe Nojechowiz	Noé Nojechowicz	Argentina	1973	6	Junio				Individual		Pintura,Dibujo	Óleo y dibujo	NA		Ministerio de Relaciones Exteriores de Argentina	Aldo Pellegrini, Rafael Squirru y Guillermo Whitelow			0011f y 0012f									
II Bienal Americana de Artes Gráficas de Cali	Varios	Varios	Varias	1973	10	19-oct.			60 días	Colectiva		Arte Gráfico		NA		Cartón de Colombia S.A.	Maritza Uribe de Urdinola		Sala de Exposiciones Rotatorias y Sala de la Colección	0002b									
Exposición-homenaje de los artistas al Museo	Varios	Varios	Varias	1973	9	13-sept.				Colectiva		NA		NA															
Exposición de Eduardo Lemaitre	Hernando Lamaitre	Hernándo Lemaitre	Colombiana	1974	1	28-ene.				Individual		Pintura	Acuarela	NA															
Exposición del Grupo Grabas	Delia Cugat, Sergio Camporeale, Pablo Obelar,Daniel Zelaya	Delia Cugat, Sergio Camporeale, Pablo Obelar,Daniel Zelaya	Argentina	1974	3	8-mar.				Colectiva		Dibujo,Grabado		NA															
Pinturas de Luis Caballero	Luis Caballero	Luis Caballero	Colombiana	1974	3	21-mar.				Individual		Pintura,Dibujo		NA			Miguel A. Rojas			0012p									
Exposición de Rodolfo Abularach	Rodolfo Abularach	Rodolfo Abularach	Guatemalteca	1974	4	26-abr.				Individual		Pintura, Dibujo,Grabado		NA			Marta Traba y Riberto Guevara			0013f									
Imagen 6	Varios	Varios	Canadiense	1974	5	16-may.				Colectiva		Fotografía		NA		Embajada de Canadá													
Cali a la Vanguardia	Pedro Alcántara, Ómar Rayo, Hernando Tejada, Lucy Tejada, Maria Thereza Negreiros, Jan Bartelsman, José Mina, Ever Astudillo, Édgar Álvarez, Phanor León, María de la Paz Jaramillo, Miguel Antonio Castillo, Héctor Fabio Oviedo, Mario Roldán, Óscar Muñoz, Gerardo Ravassa, Jorge Madriñán,Mario Gordillo	Pedro Alcántara, Ómar Rayo, Hernándo Tejada, Lucy Tejada, María Thereza Negreiros, Jan Bartelsman, José Mina, Ever Astudillo, Édgar Álvarez, Phanor León, María de la Paz Jaramillo, Miguel Antonio Castillo, Héctor Fabio Oviedo, Mario Roldán, Óscar Muñoz, Gerardo Ravassa, Jorge Madriñán,Mario Gordillo	Colombiana	1974	6	21-jun.				Colectiva		Varias		NA		Secretaría de Educación del Valle del Cauca	Maritza Uribe de Urdinola, Álvaro Medina, Carlos Uribe, Germán Rubiano Caballero, Eduardo Serrano, Pieter Bos, A. Del Castillo, Galaor Carbonell, Alvaro Herrera, Hernando del Viellar, Miguel González, Walter Engel, Daniel Romero, Gerardo Ravassa, Juan Acha, Maria Vitoria Aramendía			0013c									
Camas	Feliza Burztyn	Feliza Bursztyn	Colombiana	1974	9	6-sept.				Temática-individual		Escultura 		NA			Marta Traba			0014f									
Exposición de Grabado Latino-americano	José Guadalupe Posada, David Alfaro Siqueiros, José Clemente Orozco, Leopoldo Méndez, Gabriel Fernández Ledesma, Diego Rivera, Francisco Dosamantas, Emilio Ortiz (México), Sergio González-Tornero, Sebastían Antonio Matta, Santos Chávez, Eduardo Vilchez (Chile), Luis Camnitzer, Antonio Frasconi, Joaquín Torres-García (Uruguay), Jorge Luis de la Vega, Victor Delhez, Antonio Seguí, Lino Eneas Spilinbergo, Antonio Berni, Mauricio Lansansky, Liliana Porter (Argentina), Agustín Fernandez, Wilfredo Lam (Cuba), Rodolfo Abularach (Guatemala), Santiago Cardenas (Colombia), Carlos Cruz-Diez, Marisol Escobar, Jesús Rafaél Soto (Venezuela), Lorenzo Homar (Puerto Rico), Peter Mussfeldt (Ecuador), Fernando de Szyszlo (Perú), Livio Abramo, Arthur Luis Piza, Gilvan Samico, Lasar Segall,Marcelo Grassmman (Brasil)	José Guadalupe Posada, David Alfaro Siqueiros, José Clemente Orozco, Leopoldo Méndez, Gabriel Fernández Ledesma, Diego Rivera, Francisco Dosamantas, Emilio Ortiz , Sergio González Tornero, Sebastían Antonio Matta, Santos Chávez, Eduardo Vilches , Luis Camnitzer, Antonio Frasconi, Joaquín Torres-García , Jorge Luis de la Vega, Victor Delhez, Antonio Seguí, Lino Eneas Spilinbergo, Antonio Berni, Mauricio Lasansky, Liliana Porter , Agustín Fernández, Wifredo Lam , Rodolfo Abularach , Santiago Cárdenas, Carlos Cruz-Diez, Marisol Escobar, Jesús Rafael Soto, Lorenzo Homar , Peter Mussfeldt , Fernando de Szyszlo, Livio Abramo, Arthur Luiz Piza, Gilvan Samico, Lasar Segall,Marcelo Grassmman 	Varias	1974	10	17-oct.				Colectiva		Grabado		NA		Cosejo Internacional del Museo de Arte Moderno de New York,Centro de Relaciones Interamericanas	Riva Castleman			0014c									
Exposición de Pinturas y Esculturas de Carlos Rojas	Carlos Rojas	Carlos Rojas	Colombiana	1974	11	14-nov.				Individual		Pintura,Escultura 		NA			Maritza Uribe de Urdinola			0015c									
Exposición de Emilio Sánchez 1974	Emilio Sánchez	Emilio Sánchez	Cubana	1974	12	13-dic.				Individual		Pintura		NA			Galaor Carbonell			0015f									
Grabados 74 - Serie Internacional	Ever Astudillo, Álvaro Barrio, Luis Caballero, Beatriz González, María de la Paz Jaramillo (Colombia), Ruth Bessoudo (Alemania), Herbert Bayer (Austria), Julio Camino, Tadeo Castro (Perú), Fred Koot, Ria Zurne (Holanda), Roberto Cabrera, Luis Díaz (Guatemala), Pedro Friederberg, Fabrizio Plessi, Conchetto Pozzati, Emilio Tadini, Walter Valentini (Italia), Antonio Martorell (Puerto Rico), Luis Molinari, Enrique Tabara (Ecuador), Leonora Carrington (Ingalterra), Luis Chacón, Gladir Meneses, Luisa Richter, Humberto Jaimess, Margot Romer (Venezuela), Róser Bru (España), Juan Manuel de la Rosa, Manuel Felguérez, Matías Goeritz, Xavier Héctor (México), Milton Glaser, Rafalel Tufiño (EE.UU.), Anna Letycia Quadros (Brasil),Eduardo Vilches (Chile)	Ever Astudillo, Álvaro Barrios Luis Caballero, Beatriz González, María de la Paz Jaramillo , Ruth Bessoudo Courvoisier , Herbert Bayer , Julio Camino, Tadeo Castro , Fred Koot, Ria Zurne , Roberto Cabrera, Luis Díaz , Pedro Friedeberg, Fabrizio Plessi, Conchetto Pozzati, Emilio Tadini, Walter Valentini , Antonio Martorell, Luis Molinari, Enrique Tábara , Leonora Carrington (Ingalterra), Luis Chacón, Gladir Meneses, Luisa Richter, Humberto Jaimess, Margot Romer , Roser Bru, Juan Manuel de la Rosa, Manuel Felguérez, Mathias Goeritz, Xavier Héctor , Milton Glaser, Rafalel Tufiño , Anna Letycia Quadros,Eduardo Vilches 	Varias	1975	1	24-ene.			39 días	Colectiva		Grabado		NA		Cartón de Colombia S.A.													
28 Artistas del Brasil	Aloysio Magalhaes, Anna Bella Geiger, Anna Letycia Quadros, Anna Maria Maiolino, Arcangelo Ianeli, Darel Valenca, Eduardo Cruz, Iazid Thame, Ivan Freitas, Leda Watson, Luiz Aquila da Rocha, Márcia Barrozo do Amaral, Maria do Carmo Secco, Maia Lúcia Luz, Maria Tomaselli Cirne, Marília Rodrigues, Osmar Fonseca, Paulo Roberto Leal, Roberto Aguilar, Roberto de Lamonica, Rogério Luz, Trancredo de Araújo, Thereza Miranda, Thomaz Ianelli, Tomie Ohtake, Vera Chaves Barcellos, Vinicio Horta,Wanda Pimentel 	Aloysio Magalhaes, Anna Bella Geiger, Anna Letycia Quadros, Anna María Maiolino, Arcangelo Ianelli, Darel Valenca, Eduardo Cruz, Iazid Thame, Ivan Freitas, Leda Watson, Luiz Aquila da Rocha, Márcia Barrozo do Amaral, María do Carmo Secco, Maia Lúcia Luz, María Tomaselli Cirne, Marília Rodrigues, Osmar Fonseca, Paulo Roberto Leal, Roberto Aguilar, Roberto De Lamonica, Rogério Luz, Trancredo de Araújo, Thereza Miranda, Thomaz Ianelli, Tomie Ohtake, Vera Chaves Barcellos, Vinicio Horta,Wanda Pimentel 	Brasileña	1975	2	21-feb.				Colectiva		Varias		Marc Berkowitz		Ministerio de Relaciones Exteriores del Brasil	Marc Berkowitz y Eduardo Serrano			0013p									
Palabra e Imagen	Thophile Steinlen, Jan Toorop, Alphons-Maria Mucha, Will Bradley, Edward Penfield, Beggardtaff Brothers, Ludwing Hohlwein, El Lissitzky, Herbert Bayer, G. Klutsis, E. McKhight Kauffer, A. M. Cassandre, Jan Tschichold, Herbert Matter, Jean Carlu, Pablo Picasso, Jesn Dubuffet, Ben Shahn, Paul Rand, Bruno Murani, Víctor Moscoso, Giovanni Pintori, Emilio Ambasz, Richard P. Lohse, Tomoko Miho, Eduardo Terrazas, Marisol Escobar,Frank Stella	Thophile Steinlen, Jan Toorop, Alphons-María Mucha, Will Bradley, Edward Penfield, Beggardtaff Brothers, Ludwing Hohlwein, El Lissitzky, Herbert Bayer, G. Klutsis, E. McKhight Kauffer, A. M. Cassandre, Jan Tschichold, Herbert Matter, Jean Carlu, Pablo Picasso, Jesn Dubuffet, Ben Shahn, Paul Rand, Bruno Munari, Víctor Moscoso, Giovanni Pintori, Emilio Ambasz, Richard P. Lohse, Tomoko Miho, Eduardo Terrazas, Marisol Escobar,Frank Stella	Varias	1975	4	18-abr.				Retrospectiva-colectiva		Cartel		NA		Museo de Arte de Nueva York,Goodyear	John Carrigan			0016c									
XXV Salón Nacional de Artes Visuales	Varios	Varios	Colombiana	1975	5	13-may.				Colectiva		Varias		NA		Colcultura	Gloria Zea de Uribe			0017c									
Obras Sobre el Muro: Graficas e Integración Arquitectónica	Carlos Cruz-Díez	Carlos Cruz-Diez	Venezolana	1975	6	4-jun.				Retrospectiva-individual		Varias		NA		Embajada de Venezuela	Carlos Cruz-Díez			0014p									
Exposición de Robert Kipniss 1975	Robert Kipniss	Robert Kipniss	Estadounidense	1975	7	4-jul.			35 días	Individual		Grabado	Litografía	NA			Robert Simon y Andrea Mikotajuk			0016f									
Exposición Mundial de Prensa			Varias	1975	8	7-ago.				Colectiva		Prensa		NA		Periódico El Pueblo													
Exposición de Mauricio Bueno	Mauricio Bueno	Mauricio Bueno	Ecuatoriana	1975	9	5-sept.				Individual		Escultura,Objetos 		NA						0017f									
Seis Artistas Colombianos	Ever Astudillo, Alfredo Guerrero, Óscar Muñoz, María de la Paz Jaramillo, Mariana Varela,Phanor León	Ever Astudillo, Alfredo Guerrero, Óscar Muñoz, María de la Paz Jaramillo, Maríana Varela,Phanor León	Colombiana	1975	10	10-oct.				Colectiva		Varias 		NA			Laureano Alba, Álvaro Medina, Juan Antonio Roda, Germán Rubiano Caballero y Álvaro Herrera			0018c									
Exposición de Miguel Torres Méndez	Miguel Torres Méndez	Miguel Torres Méndez	Colombiana	1975	11	Noviembre				Individual		Pintura,Dibujo		NA		Colcultura													
Serie de Grabados Colección Cartón de Colombia 75	Rogelio Polesello, Sergio Camporeale (Argentina), Jacques Hurtubise, Tony Onley (Canadá), Lucy Tejada, Juan Camilo Uribe, Carlos Rojas, Antonio Grass (Colombia), Sefa Ferré, José Luis Yturralde, José Guinovart (España), Hannes Postma, Jan Cremer (Holanda), Rodolfo Arico, Mario Radice, Gio Pomodoro (Italia), Luis García Guerrero, José Luis Cuevas, Ricardo Rocha (México), Ismael Añez, Jesús Soto, Corina Briceño, Pedro León Zapata, José Antonio Dávila (Venezuela), Hans Richter (Alemania), Pol Mara, Gilbert V. Wayembergue (Bélgica), John Massey (EE.UU.), Bezdykian Assadour (Líbano), Brian Nissen (Inglaterra), Fernando de Szyszlo, Carlos Rivilla (Perú), Luis Hernández,Julio Santiago (Puerto Rico) 	Rogelio Polesello, Sergio Camporeale , Jacques Hurtubise, Tony Onley , Lucy Tejada, Juan Camilo Uribe, Carlos Rojas, Antonio Grass, Sefa Ferré, José Luis Yturralde, José Guinovart , Hannes Postma, Jan Cremer , Rodolfo Arico, Mario Radice, Gio Pomodoro , Luis García Guerrero, José Luis Cuevas, Ricardo Rocha , Ismael Añez, Jesús Soto, Corina Briceño, Pedro León Zapata, José Antonio Dávila , Hans Richter , Pol Mara, Gilbert V. Wayembergue , John Massey , Bezdykian Assadour, Brian Nissen , Fernando de Szyszlo, Carlos Revilla , Luis Hernández,Julio Santiago  	Varias	1976	1	23-ene.				Colectiva		Grabado		NA		Cartón de Colombia S.A.													
Artistas Gráficos Británicos de la Década del 60	Varios	Varios	Británica	1976	2	20-feb.				Colectiva		Arte Gráfico		NA		Consejo Británico	Christopher Finch			0019c									
Muestra de arte colombiano de la Colección del Museo de Arte Moderno La Tertulia 1976	Varios	Varios	Colombiana	1976	3	7-mar.				Colectiva		Varias 		NA		ASOCAÑA,Compañía Nacional de Empaques Bates S.A.													
Muestra de la Colección de Arte de la Iglesia La Merced	Varios	Varios	Varias	1976	3	26-mar.				Colectiva		Varias		NA															
III Bienal Americana de Artes Gráficas de Cali	Álvaro Barrios, Ned Cruss, Carlos Alberto Caicedo, José Urbach, Juan Camilo Uribe, Édgar Álvarez, Édgar Silva, Margarita Lozano, Gastón Betelli, Hernándo Cárdenas, Dicken Castro, José Nazario Clároz, Ómar Rayo, Pedro Alcántara, Luis Paz, Saturnino Ramírez, Augusto Rendón, Claudia Arango, Jorge Arriaga, Caros Revilla, Emma Reyes, Mariana Varela, Juan Manuel Colombia, Hernando Tejada, Dario Morales, Óscar Miñoz, Manuel Camargo, Uldarico Minota, Hernán Darío Santos, Alberto Sierra Maya, Mónica Meira, Carlos Pinilla, Rómulo Polo Flórez, Édgar Correal, José Mina, Gregorio Cuartas, Teresa Cuéllar, Mauricio Cuéllar, Gilberto Parra, Jorge Peña, Lucy Tejada, Susy Iglicki, Francisco J. Gámez, José Fernando García, Gustavo Gómez-Casallas, Leonel Góngora, Pilar Caballero, Ever Astudillo, Luis Caballero, Phanor León, Armando Londoño, Marta Granados, Antonio Grass, María de la Paz Jaramillo, Carlos Lersundy, Juan Cárdenas, Jaime Mendoza, Santiago Cárdenas, Aníbal Gil, Beatriz González (Colombia), Juan Antonio Roda (España-Colombia), Gracia Barrios, José Balmes, Germán Aristizábal, Enrique Grau, Alfredo Guerrero, Bernal Ponce, Roser Bru, Dinora Doudtchitzki, Nemesio Antúnez, Guillermo Núñez, Florencia de Amesti, Catalina Parra, Mario Toral, Eduardo Vilches, Ernesto Fontesilla, Lotty Rosenfeld, Juan Gómez Quiroz (Chile), Alberto Cedrón, Enrique Aguirresabala, Raúl Alonso, Delia Cugat, Enrique Toroja, Carlos Gorriarena, Óscar Smoje, Juan Fresan, Noé Nojechovitz, Norberto Onofrío, Alfredo de Vicenzo, Eduardo Audivert, Sergio Camporeale, Carmelo Carra, Juan Carlos Gómez, Tomás Gonda, Rogelio Polesello, Liliana Porter, Daniel Celaya, Julián Usandizaga (Argentina), Eduardo Muñoz Bachs, René de la Nuez, Alfredo González Rostgaard, Mario Gallardo, Emilo Sánchez, René Azcuy Cárdenas, Luis Miguel Valdés, Tomás Sánchez, Alredo Sosabravo, Rafael Zarza, Félix Beltrán, Umberto Peña, Antonio Pérez (Cuba), Jim Amaral, David Becker, Vita Giorgi, Will Barnet, Jim Dine, Ikeda Masuo, Alexander Calder, Ivan Chermaieff, Allan D´Arcangelo, Robert Kipniss, Michael Kirk, Charles Klabunde,Toni Krajnc, Peter Milton, Kenjilo Nanao, Lowell Nesbitt, Louise Nevelson, Mauricio Lasansky, Kenso Okada, Jack Youngerman, Martin Levine, Carol Summers, Lucas Samaras, John Loring, Ernest Trova, Saul Bass, Roger Cook, Paul Davis, Dan Quest, Gene Federico, James Miho, Paul Levy, Dean Lindsay, Toshihiro Katayama, Richard Claud Ziemann, Fred Troller, Massimo Vignelli (EE.UU.), Tancredo de Araújo, Regina Cavalcanti, Ana Bella Geiger, Antonio Enrique Amaral, Joao Camara Filho, Binicio Horta, Mira Schendel, Luis Gregorio Correia, Iazid Thame, Claudio Tozzi (Brasil), Julio Alpuy, Luis Solari, Eduardo Fornasari, Luis Camnitzer, Leonilda González, Pablo Obelar (Uruguay), Carlos Laos-Brache, Humberto Aquino, Leoncio Villanueva, José Bracamonte, Víctor Escalante, Jesús Ruiz Durán, German Braun, Carlos Dávila, Fernando de Szyszlo, Ciro Palacios (Perú), Diego Barbosa, Henry Bermúdez, Eugenio Espinoza, Margot Romer, Juvenal Ravelo, Ana María Mazzei, Régulo Pérez, Gladys Meneses, Édgar Sánchez, Jorge Stever (Venezuela), Roberto Cabrera, Zipacná de León, Rodolfo Abularach, Erwin Guillermo de León, Marien Marsicovetere, Luis Díaz, Arnoldo Ramírez Amaya (Guatemala), Carlos Cañas, Antonio Ponce García (El Salvador), Gerardo González Álvarez (Costa Rica), Rolando López de Uribe, Juan Ramón Velásquez, Myrna Báez, Luis Hernández Cruz, Lorenzo Homar, Ernesto Torres, Antonio Martorell, María Eugenia Somoza (Puerto Rico), Estuardo Maldonado Luis Molinari, Flores, Mauricio Bueno, Eduardo Morán (Ecuador), Mario Gordillo (Ecuador-Colombia), Óscar Pantoja, Gil Imana (Bolivia), Félix Domingo, Edmundo Velarde, Octavio Toral, Guillermo Trujillo (Panamá), Nunik Sauret, José Luis Cuevas, Edmundo Aquino, Flora Golberg, René Alis, Luis López Loza (México), Fernand Bergeron, Ken Damby, Robert Wayne Eastcott, Rolf Harder, Ernest Roch, Pat Fleisher, Antonio Frasconi, Sarah Valerie Gersovitz, Susan Hudson,Anne Meredith Barry (Canadá) 	Álvaro Barrios, Ned Truss, Carlos Alberto Caicedo, José Urbach, Juan Camilo Uribe, Édgar Álvarez, Édgar Silva, Margarita Lozano, Gastón Betelli, Hernándo Cárdenas, Dicken Castro, José Nazario Clároz, Ómar Rayo, Pedro Alcántara, Luis Paz, Saturnino Ramírez, Augusto Rendón, Claudia Arango, Jorge Arriaga, Carlos Revilla, Emma Reyes, Maríana Varela, Juan Manuel Colombia, Hernándo Tejada, Darío Morales, Óscar Muñoz, Manuel Camargo, Uldarico Minotta, Hernán Darío Santos, Alberto Sierra Maya, Mónica Meira, Carlos Pinilla, Rómulo Polo Flórez, Édgar Correal, José Mina, Gregorio Cuartas, Teresa Cuéllar, Mauricio Cuéllar, Gilberto Parra, Jorge Peña, Lucy Tejada, Susy Iglicki, Francisco J. Gámez, José Fernando García, Gustavo Gómez-Casallas, Leonel Góngora, Pilar Caballero, Ever Astudillo, Luis Caballero, Phanor León, Armando Londoño, Marta Granados, Antonio Grass, María de la Paz Jaramillo, Carlos Lersundy García, Juan Cárdenas, Jaime Mendoza, Santiago Cárdenas, Aníbal Gil, Beatriz González, Juan Antonio Roda, Gracia Barrios, José Balmes, Germán Aristizábal, Enrique Grau, Alfredo Guerrero, Bernal Ponce, Roser Bru, Dinora Doudtchitzki, Nemesio Antúnez, Guillermo Núñez, Florencia de Amesti, Catalina Parra, Mario Toral, Eduardo Vilches, Ernesto Fontesilla, Lotty Rosenfeld, Juan Gómez Quiroz , Alberto Cedrón, Enrique Aguirrezabala, Raúl Alonso, Delia Cugat, Enrique Toroja, Carlos Gorriarena, Óscar Smoje, Juan Fresan, Noé Nojechowicz, Norberto Onofrío, Alfredo de Vicenzo, Eduardo Audivert, Sergio Camporeale, Carmelo Carra, Juan Carlos Gómez, Tomás Gonda, Rogelio Polesello, Liliana Porter, Daniel Zelaya, Julián Usandizaga , Eduardo Muñoz Bachs, René de la Nuez, Alfredo González Rostgaard, Mario Gallardo, Emilio Sánchez, René Azcuy Cárdenas, Luis Miguel Valdés, Tomás Sánchez, Alredo Sosabravo, Rafael Zarza, Félix Beltrán, Umberto Peña, Antonio Pérez, Jim Amaral, David Becker, Vita Giorgi, Will Barnet, Jim Dine, Ikeda Masuo, Alexander Calder, Ivan Chermayeff, Allan D'Arcangelo, Robert Kipniss, Michael Kirk, Charles Klabunde,Toni Krajnc, Peter Milton, Kenjilo Nanao, Lowell Nesbitt, Louise Nevelson, Mauricio Lasansky, Kenso Okada, Jack Youngerman, Martin Levine, Carol Summers, Lucas Samaras, John Loring, Ernest Trova, Saul Bass, Roger Cook, Paul Davis, Dan Quest, Gene Federico, James Miho, Paul Levy, Dean Lindsay, Toshihiro Katayama, Richard Claude Ziemann, Fred Troller, Massimo Vignelli , Tancredo De Araújo, Regina Cavalcanti, Ana Bella Geiger, Antonio Enrique Amaral, Joao Camara Filho, Binicio Horta, Mira Schendel, Luis Gregorio Correia, Iazid Thame, Claudio Tozzi , Julio Alpuy, Luis Solari, Eduardo Fornasari, Luis Camnitzer, Leonilda González, Pablo Obelar , Carlos Laos-Brache, Humberto Aquino, Leoncio Villanueva, José Bracamonte, Víctor Escalante, Jesús Ruiz Durán, German Braun, Carlos Dávila, Fernando de Szyszlo, Ciro Palacios , Diego Barbosa, Henry Bermúdez, Eugenio Espinoza, Margot Romer, Juvenal Ravelo, Ana María Mazzei, Régulo Pérez, Gladys Meneses, Édgar Sánchez, Jorge Stever , Roberto Cabrera, Zipacná de León, Rodolfo Abularach, Erwin Guillermo de León, Marien Marsicovetere, Luis Díaz, Arnoldo Ramírez Amaya, Carlos Cañas, Antonio Ponce García , Gerardo González Álvarez , Rolando López de Uribe, Juan Ramón Velásquez, Myrna Báez, Luis Hernández Cruz, Lorenzo Homar, Ernesto Torres, Antonio Martorell, María Eugenia Somoza , Estuardo Maldonado, Luis Molinari, Mauricio Bueno, Eduardo Morán , Mario Gordillo, Óscar Pantoja, Gil Imana , Félix Domingo, Edmundo Velarde, Octavio Toral, Guillermo Trujillo , Nunik Sauret, José Luis Cuevas, Edmundo Aquino, Flora Golberg, René Alis, Luis López Loza, Fernand Bergeron, Ken Damby, Robert Wayne Eastcott, Rolf Harder, Ernest Roch, Pat Fleisher, Antonio Frasconi, Sarah Valerie Gersovitz, Susan Hudson,Anne Meredith Barry 	Varias	1976	5	7-may.			84 días	Colectiva		Arte Gráfico		NA		Cartón de Colombia S.A. 	Martiza Uribe de Urdinola			0003b									
Publicación: Portafolio de serigrafías	Enrique Grau, Édgar Negret, Juan Antonio Roda, Pedró Alcántara, Luis Caballero,María de la Paz Jaramillo	Enrique Grau, Édgar Negret, Juan Antonio Roda, Pedro Alcántara, Luis Caballero,María de la Paz Jaramillo	Colombiana	1976	9	Septiembre				Colectiva		Grabado		NA															
Muestra Retrospectiva de Beatriz González	Beatriz González	Beatriz González	Colombiana	1976	9	23-sept.				Retrospectiva-individual		Pintura		NA			Eduardo Serrano			0020c									
Las Plásticas Cubanas Actuales	Roger Aguilar, Raúl Alfaro, Carlos José Alfonzo, Aguedo Alonso, Francisco Antigua, René Avila, Félix Beltrán, Adigio Benítez, Juan Blanco López, Servando Cabrera, Manuel Casellanos, José Contino, Carlos Cruz Boix, José Antonio Díaz, Nelson Domínguez, Agustín Drake, Juan Esnard, Roberto Fabelo, Modesto Braulio Flórez, Ever Fonseca, Gilberto Frometa, Mario Gallardo, Osvaldo García, Ernesto García Peña, Flavio Garcianda, Isabel Gimeno, José Gómez Fresquet, Ernesto González Puig, Ramón Haiti, Manuel Hernández, Pablo Labañino, César Leal, Evelio Lecour, Rita Longa, Nelida López, Rogelio López Marín, Manuel López Oliva, Raul Martínez, Sergio Martínez, Héctor Martínez Cala, Luis Martínez Pedro, Manuel Mendive, Aldo Méndez, Raúl Milián, Juan Moreira, Sergio Moreno, Enrique Moret, René de la Nuez, Alfredo Núñez Booth, Raimundo Orozco, Rafael Paneca, Enrique Pérez Triana, René Portocarrero, José Luis Posada, Zaida del Río, Mariano Rodríguez, Eduardo Roca, Rogelio Rodríguez Cobas, Tomas Sánchez, Raúl Santos Serpa, Aldo Soler, Alfredo Sosabravo, Luis Miguel Valdes, René Valdes Cedeño,Juan Vázquez Martin	Roger Aguilar, Raúl Alfaro, Carlos José Alfonzo, Aguedo Alonso, Francisco Antigua, René Avila, Félix Beltrán, Adigio Benítez, Juan Blanco López, Servando Cabrera, Manuel Casellanos, José Contino, Carlos Cruz Boix, José Antonio Díaz, Nelson Domínguez, Agustín Drake, Juan Esnard, Roberto Fabelo, Modesto Braulio Flórez, Ever Fonseca, Gilberto Frometa, Mario Gallardo, Osvaldo García, Ernesto García Peña, Flavio Garciandía, Isabel Gimeno, José Gómez Fresquet, Ernesto González Puig, Ramón Haiti, Manuel Hernández, Pablo Labañino, César Leal, Evelio Lecour, Rita Longa, Nelida López, Rogelio López Marín, Manuel López Oliva, Raul Martínez, Sergio Martínez, Héctor Martínez Cala, Luis Martínez Pedro, Manuel Mendive, Aldo Méndez, Raúl Milián, Juan Moreira, Sergio Moreno, Enrique Moret, René de la Nuez, Alfredo Núñez Booth, Raimundo Orozco, Rafael Paneca, Enrique Pérez Triana, René Portocarrero, José Luis Posada, Zaida del Río, Maríano Rodríguez, Eduardo Roca, Rogelio Rodríguez Cobas, Tomás Sánchez, Raúl Santos Serpa, Aldo Soler, Alfredo Sosabravo, Luis Miguel Valdés, René Valdes Cedeño,Juan Vázquez Martin	Cubana	1976	11	Noviembre				Colectiva		Pintura, Dibujo, Grabado,Escultura		NA		Concejo Nacional de la Cultura de la República de Cuba	Manuel López Oliva			0021c									
Migraciones	John Thomas Biggers, Camille Billops, Robert Blackburn, Caroline M Byard, Eldzier Cortor, Juanit Cribb, Allan Edmunds, David Hammons, Bill Harris, Leo NathanielHicks, Barbara J. Jones, Wiston Kennedy, Talita Long, Percy Martin, Valerie Maynard, Lloyd McNeill, Otto Neals, Nefertiti, James E. Newton, Stephanie E. Pogue, Joseph Ross Jr., John Scott, George Smith, Lou Stovall, James Wells, Charles White,Wendy Wilson	John Thomas Biggers, Camille Billops, Robert Blackburn, Caroline M Byard, Eldzier Cortor, Juanit Cribb, Allan Edmunds, David Hammons, Bill Harris, Leo NathanielHicks, Barbara Jones, Wiston Kennedy, Talita Long, Percy Martin, Valerie Maynard, Lloyd McNeill, Otto Neals, Nefertiti, James E. Newton, Stephanie E. Pogue, Joseph Ross Jr., John Scott, George Smith, Lou Stovall, James Wells, Charles White,Wendy Wilson	Estadounidense	1976	12	Diciembre				Colectiva		Arte Gráfico		Ed Love, Winston Kennedy, George Smiths, Willim Harris,Acklyn Lynch			Elsa Honig Fine			0022c									
