Nombre Exposiciones	Artista(s)	Artistas_std	Nacionalidad	Año de la exposición	mes	Fecha de inicio de la exposición	Fecha de inicio de la exposición según soporte	Fecha de finalización de la exposición según soporte	Duración de la exposición (en días)	Tipo de exposición	Tema	Técnica	Detalles de técnica	Curaduría	Presentación de la exposición	Auspiciador(es)	Autor del material promocional de la exposición	Texto(s) del material promocional de la exposición	Sala de Exposición	Signatura	Documento de soporte	Presidente	Director	Junta Directiva	Junta Asesora	Diseño	Impresión	Obras de la coleción	Códigos de las obras
Diez Artistas Chilenos	José Balmes, Gracia Barrios, Sammy Benmayor, Roser Bru, Eugenio Dittborn, Patricia Israel, Carlos Maturana, Guillermo Núñez, Rodolfo Opazo,Benito Roo	José Balmes, Gracia Barrios, Sammy Benmayor, Roser Bru, Eugenio Dittborn, Patricia Israel, Carlos Maturana, Guillermo Núñez, Rodolfo Opazo,Benito Rojo	Chilena	1988	9	29-sept.			45 días	Colectiva		Pintura		Alberto Pérez		Biblioteca Luis Ángel Arango, Galeria Carmen Waugh (Chile), Galería Época (Chile), Galería Arte Actual (Chile)	Maritza Uribe de Urdinola, Alberto Pérez, José Balmes, Sammy Benmayor, Roser Bru, Marta Traba, Waldemar Sommer, Michel Foucault, Guillermo Núñez y Benito Rojo		Sala de la Colección	0062c									
Exposición de Daniel Zelaya	Daniel Zelaya	Daniel Zelaya	Argentina	1988	10	6-oct.			40 días	Individual		Pintura		NA					Galería-taller	0010v									
Exposición de Hernando Hoyos	Hernando Hoyos	Hernándo Hoyos	Colombiana	1988	11	3-nov.			45 días	Individual		Pintura		NA			Miguel González		Alterna	0011v									
Exposición de Roberto Angulo	Roberto Angulo	Roberto Angulo	Colombiana	1988	11	16-nov.			60 días	Individual		Pintura	Acuarela	NA			Eduardo Serrano		Galería-taller	0012v									
Artistas Alemanes en America Latina: Pintores y Naturalista del Siglo XIX	Varios	Varios	Alemana	1988	11	29-nov.			45 días	Retrospectiva-colectiva		Varias		NA		Instituto Goethe de Bogotá,Embajada de la República Federal Alemana			Sala de la Colección										
XIV Portafolio de Grabados Cartón de Colombia/AGPA	Antonio Caro, Jaime Valencia, Óscar González Cerón, Édgar Correal, Yolanda Mesa, Mercedes Sebastián, Diego Arango, Karen Lamassone, Anita Durán, Alfredo Lleras Rojas, Clemencia Echeverry, Martha Elena Vélez, Liliana Durán, Jorge Rocha, Ángel Loockart, Ana Mercedes Hoyos,Fernando Tovar  	Antonio Caro, Jaime Valencia, Óscar González Cerón, Édgar Correal, Yolanda Mesa, Mercedes Sebastián, Diego Arango, Karen Lamassonne, Anita Durán, Alfredo Lleras Rojas, Clemencia Echeverri, Martha Elena Vélez, Liliana Durán, Jorge Rocha, Ángel Loochkartt, Ana Mercedes Hoyos,Fernando Tovar  	Colombiana	1988	12	1-dic.				Colectiva		Grabado		NA			María Teresa Guerrero		Alterna										
Muestra de la Colección de Arte de Suramericana de Seguros	Varios	Varios	Varias	1988	12	5-dic.			45 días	Colectiva		Varias		NA		Suramericana de Seguros,Proartes			Sala de la Colección										
Galápagos	María de la Paz Jaramillo 	María de la Paz Jaramillo 	Colombiana	1988	12	13-dic.			45 días	Individual		Pintura		NA					Rotatoria										
Exposición de Gloria Duncan y Ronald Duncan	Gloria Duncan,Ronald Duncan	Gloria Duncan,Ronald Duncan	Estadounidense	1989	1	19-ene.			45 días	Colectiva		Cerámica		NA			Germán Rubiano Caballero		Galería-taller	0013v									
Fotografías y su Relación	Álvaro Barrios, Patricia Bonilla, Herman Braun-Vega, Chuk Close, Hernán Díaz, Eugenio Dittborn, Fernell Franco, Gómez Pulido, Beatriz Gonzalez, Monika Herrán, Luciano Jarmillo, Karen Lamassone, Alberto Lenis, Roy Lichtenstein, Arnulfo Luna, Becky Meyer, Peter Milton, Otto Moll, Dario Morales, Refel Moure, Oscar Muñoz, Silvia Patiño, Liliana Porter, Johnny Rasmussen, Robert Rauscehenberg, Milton Rodriguez, Miguel Angel Rojas, Mercedes Sebastin, Fabio Serrano,William Weege	Álvaro Barrios, Patricia Bonilla, Herman Braun-Vega, Chuck Close, Hernán Díaz, Eugenio Dittborn, Fernell Franco, Gómez Pulido, Beatriz González, Mónika Herrán, Luciano Jaramillo, Karen Lamassonne, Alberto Lenis Burckhardt, Roy Lichtenstein, Arnulfo Luna, Becky Mayer, Peter Milton, Otto Moll González, Darío Morales, Refel Moure, Óscar Muñoz, Silvia Patiño, Liliana Porter, Johnny Rasmussen, Robert Rauschenberg, Milton Rodriguez, Miguel Ángel Rojas, Mercedes Sebastián, Fabio Serrano,William Weege	Varias	1989	1	26-ene.			45 días	Colectiva		Fotografía		Miguel González			Miguel González		Alterna	0014v									
