id_nodo	nombre_nodo	ano_apa	subclass	attr	class_nodo
a.450	José Bartoli		México	1	artista
a.451	José Chávez Morado		México	1	artista
a.452	José De Monmte		Argentina	0	artista
a.453	José Franco		Cuba	1	artista
a.454	José García Ocejo		México	1	artista
a.455	José Mina		Colombia	1	artista
a.456	José Moreno		Chile	1	artista
a.457	José Urbach		Colombia	1	artista
a.458	Jorge Julián Aristizábal	1962	Colombia	2	artista
a.459	Jorge Acero	1968	Colombia	1	artista
a.460	Jorge Camacho		Cuba	1	artista
a.461	Jorge Gómez		Colombia	1	artista
a.462	Jorge González	1969	Colombia	1	artista
a.463	Jorge Pérez-Castaño		Cuba	1	artista
a.464	Jordi Secall-Roure		España	1	artista
a.465	Johnny Rasmussen		Colombia	1	artista
a.466	John Grillo		Estados Unidos	1	artista
a.467	John Lange		Venezuela	1	artista
a.468	John Massey		Estados Unidos	1	artista
a.469	John McLaughlin		Estados Unidos	1	artista
a.470	Johanna Calle	1965	Colombia	1	artista
a.471	Joaquín Ferrer		Cuba	1	artista
a.472	Joan Josep Tharrats		España	1	artista
a.473	Jim Dine		Estados Unidos	1	artista
a.474	Jesús María Zamora	1875	Colombia	1	artista
a.475	Jesús Martínez		México	1	artista
a.476	Jean Gabriel Thénot	1951	Frances	1	artista
a.477	Javier Restrepo		Colombia	1	artista
a.478	Jan Cremer		Holanda	1	artista
a.479	James Brown		Estados Unidos	1	artista
a.480	Jaime Ávila	1966	Colombia	1	artista
a.481	Jaime Iregui	1956	Colombia	1	artista
a.482	Jaime León			0	artista
a.483	Jaime Osorio		Colombia	1	artista
a.484	Jaime Suárez	1946	Puerto Rico	1	artista
a.485	Jacques Hurtubise		Canadá	1	artista
a.486	Jacques Villon		Francia	1	artista
a.487	Jacobo Borges		Venezuela	1	artista
a.488	Ivel Weihmuller		Argentina	1	artista
a.489	Ismael Martínez Guardado		México	1	artista
a.490	Ignacio Miranda		México	1	artista
a.491	Humberto Jaimes		Venezuela	1	artista
a.492	Hugo Arape		Venezuela	1	artista
a.493	Hugo Camandona		Perú	1	artista
a.494	Hugo Cifuentes		Ecuador	1	artista
a.495	Homero Aguilar		Colombia	1	artista
a.496	Hervé Télémaque		Haití	1	artista
a.497	Hernando del Villar		Colombia	1	artista
a.498	Hernando Ordóñez		Colombia	1	artista
a.499	Hernando Rojas		Colombia	1	artista
a.500	Hernán Zúñiga Alban		Ecuador	0	artista
a.501	Herbert Bayer		Estados Unidos	1	artista
a.502	Henry Pearson		Estados Unidos	1	artista
a.503	Helio Salcedo		Colombia	1	artista
a.504	Helga Krebs		Chile	1	artista
a.505	Helen Escobedo		México	1	artista
a.506	Hector Wiesner Gracia		Colombia	1	artista
a.507	Hector Xavier		México	1	artista
a.508	Harold Muñoz		Colombia	1	artista
a.509	Hans Richter		Alemania	1	artista
a.510	Hannes Postma		Holanda	1	artista
a.511	Gustavo Vejarano		Colombia	1	artista
a.512	Guillermo Cuartas		Colombia	1	artista
a.513	Guillermo Londoño		Colombia	1	artista
a.514	Guillermo Meza		México	1	artista
a.515	Guillermo Núñez		Chile	1	artista
a.516	Guillermo Vélez		Colombia	1	artista
a.517	Guillermo Wiedemann		Colombia	1	artista
a.518	Guillaume Corneille		Bélgica	1	artista
a.519	Gonzalo Ariza		Colombia	1	artista
a.520	Gonzalo Endara Crow		Ecuador	1	artista
a.521	Gonzalo Endara-Crow		Ecuador	1	artista
a.522	Gloria Uribe		Colombia	1	artista
a.523	Gladys Meneses		Venezuela	1	artista
a.524	Giuliano Barbanti		Italia	1	artista
a.525	Giovanni Vargas	1976	Colombia	1	artista
a.526	Gio Pomodoro		Italia	1	artista
a.527	Gina Pellón		Cuba	1	artista
a.528	Gilbert Wayembergue		Holanda	1	artista
a.529	Gianfanco Ferroni		Italia	1	artista
a.530	Gesner Armand		Haití	1	artista
a.531	Gertrud Goldschmidt		Venezuela	1	artista
a.532	Gerardo Chávez		Perú	1	artista
a.533	Gerardo Ravassa		Colombia	1	artista
a.534	George Raab		Canadá	1	artista
a.535	Geny Dignac		Argentina	1	artista
a.536	Gabriel Silva Rubio	1955	Colombia	1	artista
a.537	Gabor Peterdi		Estados Unidos	1	artista
a.538	Frederic Amat		España	1	artista
a.539	Fred Koot		Canadá	1	artista
a.540	Francisco Bellorin		Venezuela	1	artista
a.541	Francisco Corzas		México	1	artista
a.542	Francisco De La Puente		Chile	1	artista
a.543	Francisco Smythe		Chile	1	artista
a.544	Francisco Toledo		México	1	artista
a.545	Francisco Zúñiga		México	1	artista
